k,activ_prob_mean,activ_prob_mean_ci95_min,activ_prob_mean_ci95_max,activ_prob_raw_mean,activ_prob_raw_mean_ci95_min,activ_prob_raw_mean_ci95_max,raw_baseline_mean,raw_baseline_mean_ci95_min,raw_baseline_mean_ci95_max,baseline2_mean,baseline2_mean_ci95_min,baseline2_mean_ci95_max,base_diff_mean,base_diff_mean_ci95_min,base_diff_mean_ci95_max,raw_base_diff_mean,raw_base_diff_mean_ci95_min,raw_base_diff_mean_ci95_max,Prod_high_mean,Prod_high_mean_ci95_min,Prod_high_mean_ci95_max,Prod_low_mean,Prod_low_mean_ci95_min,Prod_low_mean_ci95_max,Prod_diff_mean,Prod_diff_mean_ci95_min,Prod_diff_mean_ci95_max,Prod_raw_high_mean,Prod_raw_high_mean_ci95_min,Prod_raw_high_mean_ci95_max,Prod_raw_low_mean,Prod_raw_low_mean_ci95_min,Prod_raw_low_mean_ci95_max,Prod_raw_diff_mean,Prod_raw_diff_mean_ci95_min,Prod_raw_diff_mean_ci95_max,base_diff2_mean,base_diff2_mean_ci95_min,base_diff2_mean_ci95_max,overall_den_mean,Prod_den_high1_mean,Prod_den_low1_mean,Imp1_high_mean,Imp1_high_mean_ci95_min,Imp1_high_mean_ci95_max,Imp1_low_mean,Imp1_low_mean_ci95_min,Imp1_low_mean_ci95_max,Imp1_diff_mean,Imp1_diff_mean_ci95_min,Imp1_diff_mean_ci95_max,Imp1_raw_high_mean,Imp1_raw_high_mean_ci95_min,Imp1_raw_high_mean_ci95_max,Imp1_raw_low_mean,Imp1_raw_low_mean_ci95_min,Imp1_raw_low_mean_ci95_max,Imp1_raw_diff_mean,Imp1_raw_diff_mean_ci95_min,Imp1_raw_diff_mean_ci95_max,Imp1_den_high1_mean,Imp1_den_low1_mean,baseline,min_works,topic,windows
0,0.0038345322461816795,0.003659224083464562,0.004025630812218888,0.001429359840077713,0.001310917414462614,0.0015560210138349467,0.0,0.0,0.0,0.0018972912483673399,0.001791063167875705,0.002015159600884051,0.0018306139049199786,0.0016552902903029223,0.002024988301494989,0.001429359840077713,0.0013081091849786932,0.0015576758918560587,,,,,,,,,,,,,,,,,,,0.0019372409978143385,0.001860738468935738,0.0020211923234581,2369756.1739130435,,,,,,,,,,,,,,,,,,,,,,,0.0020039183412617,3000,Superconductivity,23
1,0.016763698522608516,0.015788687228994312,0.0178512008566793,0.005660708215230518,0.005112832988237954,0.006258453691422617,0.005660708215230521,0.005110616858869966,0.006254157103303105,0.012959957307862204,0.01181802518176809,0.01420990861048458,0.003601330786207413,0.00262233488544381,0.004704362121999081,-4.185963170291861e-18,-1.4858283685540478e-17,6.5617801047818354e-18,0.019544555164598774,0.01820616376054018,0.020993876639324983,0.015792599591838912,0.014732426686248313,0.017008802446324633,0.0037519555727598642,0.003072872394778876,0.004458661698093225,0.010514146063417341,0.009821234559504321,0.011257837862303272,0.013289623050539613,0.012295296471895001,0.014453482638495547,-0.002775476987122269,-0.0033459585583565737,-0.0022279536761086946,0.003803741214746308,0.0035502538782967454,0.004042129930382093,385875.3043478261,151921.0,22745.956521739132,0.03084222810943418,0.029636640980344228,0.032006506073834644,0.022764398012768094,0.02128016076897115,0.024273550376131218,0.008077830096666091,0.007267926102636949,0.008863355794668881,0.019719072640438932,0.018603171891632308,0.020818613477174387,0.019418103758318074,0.01812063464300271,0.020774912880897792,0.0003009688821208601,-0.0004906749477691019,0.0010520713625909103,58918.13043478261,19010.652173913044,0.0131623677364011,3000,Superconductivity,23
2,0.026647423007898362,0.025035993143259185,0.028430616800025087,0.010593582035453861,0.009542700836861095,0.011768845741477704,0.0112873961134796,0.010210053109800341,0.012471155683857609,0.02049949516333215,0.01865726840028475,0.022480552189901356,0.005930567977316165,0.004339184945523,0.007695067912922244,-0.0006938140780257396,-0.0009560866724008507,-0.0004380744742063476,0.03118580610213453,0.028792470423090955,0.033683620961838426,0.023062482132020442,0.02160193314120939,0.02457524883652334,0.008123323970114086,0.006479949545978113,0.009823692790834924,0.018409202712665503,0.01700457018088681,0.019929202546862958,0.01976003772816797,0.018196730942527346,0.021469175517284268,-0.001350835015502466,-0.0026024078724330604,-7.729634991990558e-05,0.006147927844566214,0.005656330988370524,0.006591739813966516,207110.13043478262,66925.26086956522,5825.173913043478,0.05185133939917005,0.05027338223588759,0.05341015446883993,0.03200909197162686,0.02982026909937132,0.03422208240782231,0.01984224742754317,0.018357520090534346,0.021298968747339993,0.035886196654716006,0.03397781833117712,0.03777168358590121,0.029415399266453857,0.02711724649374237,0.03178316471616941,0.0064707973882621485,0.004676933338022525,0.008261568446168441,20510.304347826088,5037.173913043478,0.0207168550305822,3000,Superconductivity,23
3,0.0357584981262246,0.03357348720755335,0.03821071320817299,0.016237765070337112,0.014627030481408532,0.01795791448088905,0.01688028141834418,0.01527543280007528,0.018667086402068628,0.02715952773648595,0.02471866251601444,0.029975492810415925,0.00843266547391369,0.0061741229155984284,0.010796251131742231,-0.0006425163480070667,-0.0010767947664619799,-0.00021263596498802663,0.041490989292281975,0.03822020817291979,0.04483762482773792,0.027714613104347398,0.025771439519535894,0.029614958076096463,0.013776376187934584,0.011010632127437274,0.016507772786366042,0.02633439701927035,0.024246550935387048,0.028540585685196535,0.02446775756614643,0.022485816474592326,0.026642242596936705,0.001866639453123913,-5.2029461752724374e-05,0.0038305246397276273,0.008598970389738636,0.007846350705333932,0.009310188446932136,133952.26086956522,37228.391304347824,2452.3478260869565,0.06770461388839677,0.06599641021160238,0.06935595310734509,0.035468321395704314,0.03287273366100824,0.03814594675575885,0.03223629249269247,0.03015939698948154,0.034171522677907046,0.05192969982117524,0.049527143503741336,0.054298368781675606,0.03386735572757562,0.03087781848751727,0.036788939523894004,0.018062344093599615,0.015858176574516974,0.020237047159097975,10332.434782608696,2169.217391304348,0.0273258326523109,3000,Superconductivity,23
4,0.042892287465548656,0.04031871710521573,0.04569544394838771,0.020619827351825718,0.01856578151141466,0.022998895361830373,0.022439580368770695,0.020293880205852446,0.024846041864772152,0.03246291415727719,0.029440370900694436,0.03576268686127899,0.01027202371143416,0.007752854145794881,0.013039500440413512,-0.0018197530169449777,-0.0024698410624298148,-0.0011946171231914874,0.04922450272616108,0.04549390427986267,0.05318891503175256,0.03046299028387032,0.027861033047586505,0.032995288442646716,0.01876151244229077,0.01496331481486284,0.02234403573197086,0.03180734074382354,0.029687915693513593,0.034083517628362384,0.027709443433696378,0.023829763492542108,0.031778890445665856,0.004097897310127169,0.0006761045269526056,0.0075383915704344785,0.010429373308271473,0.009443916172130645,0.011330704738984716,98836.65217391304,24612.869565217392,1350.2608695652175,0.07744824314056563,0.07562838839830377,0.07929378886789891,0.03674611053266205,0.033369362334134595,0.04049943493550314,0.04070213260790357,0.03706778543096733,0.0439588346379654,0.06149574333144569,0.058657606558830885,0.06445646270467104,0.03427870147240981,0.030229223584411404,0.038723090796099216,0.027217041859035878,0.023221919850275767,0.03146538703480951,6401.086956521739,1193.5652173913043,0.0326202637541145,3000,Superconductivity,23
5,0.04968444216804448,0.046853692237288566,0.05280990999168342,0.026604286877335837,0.024177574752540877,0.029252654268038945,0.027965507729818186,0.02528815112220243,0.030909897792618712,0.03739370285982922,0.03390429297815951,0.041302845637788764,0.012162176709375779,0.009247006742360751,0.015315932568039517,-0.0013612208524823527,-0.002128531624552754,-0.0006559558208502391,0.05665889281532266,0.05220157173913607,0.06134033185608536,0.03236683793441084,0.02886598205473221,0.03595435027482747,0.02429205488091182,0.01895469320401441,0.030078822569267468,0.03976469121160249,0.036313176575718156,0.04368371876860693,0.030227460255897443,0.025426483298613314,0.03535998798397007,0.009537230955705047,0.004611491876206168,0.014663350487026505,0.01229073930821525,0.011037596709468113,0.013438687467462445,76315.04347826086,17214.956521739132,812.3478260869565,0.08570735569882357,0.08325909117046235,0.08822469097745027,0.038492770845464486,0.03500698280523774,0.042277956974381636,0.04721458485335907,0.04325979111990516,0.05086690007404808,0.07018227546182225,0.06650656798852056,0.07395257395208506,0.035363873611577626,0.030790320118127882,0.04052572501327269,0.03481840185024461,0.028908079492398372,0.040248725568062034,4237.695652173913,726.3478260869565,0.0375222654586687,3000,Superconductivity,23
6,0.05508168185782875,0.051891308911848955,0.05851614650023306,0.03044088854345317,0.02763029066347929,0.03347181810151353,0.03345827680333877,0.030257484436181113,0.036983817298097035,0.041536316224408856,0.03763682848182447,0.04582168680164716,0.013432614675010056,0.010302222997557672,0.016792792913040717,-0.0030173882598856045,-0.003973899884868275,-0.0021320030443203186,0.06212099500584566,0.05716786562867522,0.06726510320863356,0.03338357736490679,0.02873008851779227,0.038117757728400176,0.028737417640938866,0.02165733566466626,0.03645461891110836,0.043328781078367726,0.039878905791569434,0.046836833756085834,0.03583780877470021,0.027385981287239996,0.04517603505978537,0.007490972303667521,-0.0016049358869160075,0.0166497453941194,0.013545365633419904,0.011928902085359697,0.014919173582856556,62204.82608695652,12970.869565217392,537.2173913043479,0.09178393408035483,0.08910325314529731,0.0944771146036455,0.04013222435259309,0.036342396840293674,0.04429233200488171,0.05165170972776176,0.04680923606596519,0.05583162509848951,0.075182825152389,0.07122139916882181,0.07929237709551064,0.042361441439450816,0.03650679431394187,0.04858453278561896,0.03282138371293818,0.02554768350901263,0.04024794833304053,3047.2608695652175,483.1304347826087,0.0416490671828187,3000,Superconductivity,23
7,0.060331230906081924,0.05696417941164598,0.06396590151658961,0.033995810778440105,0.03067604240962701,0.03769525875792374,0.0389180994385764,0.03528929354054797,0.04294661131377432,0.0455168853838261,0.041221194965756214,0.05029653854620794,0.014742031804040412,0.01135890423126261,0.018270172241805233,-0.004922288660136288,-0.006485698761445974,-0.003454763226348919,0.06776176614200745,0.062244891125654664,0.0735772078595915,0.03233091902894147,0.027672332694183354,0.036965820498980104,0.03543084711306598,0.02775302119913303,0.04390596568425081,0.05216387171846248,0.04828534836084004,0.0563255360564741,0.027608603477448822,0.02140698445498526,0.03369441896481064,0.024555268241013638,0.016097756831333496,0.03382048296567381,0.014814345522255802,0.013020362190087753,0.01650806809015454,51587.82608695652,9964.0,372.0869565217391,0.09782396486686559,0.09427668267880451,0.10149080770053737,0.03908334275278414,0.0350123497733733,0.043415843572883826,0.058740622114081445,0.0532544912696211,0.06397560956342627,0.08159624743797746,0.07543661818525164,0.0878525842043014,0.03957706651717476,0.030195710654349797,0.049567328633566596,0.04201918092080268,0.03295195145656838,0.051187622150559074,2238.8695652173915,335.5652173913044,0.0455891991020415,3000,Superconductivity,23
8,0.06489345476044966,0.06149681707637997,0.06860268098972175,0.03683724358393437,0.03370302274412191,0.04008099145321046,0.044345186042684226,0.0402008434886482,0.04901815002003672,0.048921367934677065,0.044351128280321075,0.053956860219658336,0.01589556997580976,0.012373159419171395,0.019642538685229,-0.007507942458749856,-0.009714142488417213,-0.00554455333676575,0.07153453462188149,0.06545667416828711,0.07765981653585766,0.03446483597133867,0.029277304855302173,0.03975882718725494,0.03706969865054279,0.029281371792954373,0.045589537089949755,0.050522633018193416,0.047153421022323484,0.05387512375971736,0.037309309163173925,0.026706501821986205,0.04841787555981925,0.013213323855019485,0.002608023150783712,0.024190436044604312,0.015972086825772596,0.01388784000855754,0.017850752706703957,44120.69565217391,7984.260869565217,267.5217391304348,0.10276961851491126,0.09924448796652129,0.1063965868480596,0.03862802332163989,0.0340866371288614,0.04355018246204233,0.06414159519327137,0.05737351627691029,0.0708931697888884,0.09035255642865167,0.08447181307983916,0.09840573588840039,0.03383394704622956,0.025096152352235265,0.04342084531918637,0.056518609382422126,0.04444432056023142,0.0690782188249603,1715.6521739130435,241.2173913043478,0.0489978847846399,3000,Superconductivity,23
9,0.06943278728092529,0.06577731344345535,0.07334424402724435,0.04171727184663954,0.03852737790421576,0.04520324390361709,0.049739745591161455,0.045073154362857144,0.054938401918855156,0.05215869049230802,0.0472457920038307,0.0575689988355132,0.017201982402176887,0.013562213885637983,0.021032955313951576,-0.008022473744521922,-0.010451524353069654,-0.00566367920402442,0.07637595996256566,0.0696669504510752,0.08350683853475663,0.03390485235038534,0.02852847040667835,0.03923645749963313,0.04247110761218033,0.03420427516492031,0.05137265372825164,0.057804819676225215,0.05194398443255033,0.06413032561333207,0.03170303573263273,0.018989927627009615,0.04557195420821345,0.026101783943592482,0.011745386588527753,0.04009751313390051,0.017274096788617264,0.01508324287517451,0.01928591236982889,38124.95652173913,6484.739130434783,196.7391304347826,0.10638103417983637,0.10245443969826767,0.11057490284841379,0.04061524962133643,0.03428987292967229,0.04722826541832791,0.0657657845584999,0.05744161778608585,0.0742111737171194,0.09686274173167667,0.09034785606238278,0.10390714841420484,0.03322944693906688,0.022240253010696584,0.04499822949111921,0.06363329479260976,0.04761254706783294,0.07927161004669793,1329.7826086956522,179.65217391304347,0.0522308048787484,3000,Superconductivity,23
